fraction_%,accuracy,error_rate,rel_err_reduction
20,0.7319400832079936,0.26805991679200636,0.0
40,0.7428732265526735,0.2571267734473265,4.078619241370258
60,0.7477548794539586,0.2522451205460414,5.899724373277332
80,0.7591541986612836,0.24084580133871636,10.152250951568426
