fraction_%,accuracy,error_rate,rel_err_reduction
20,0.8609,0.1391,0.0
40,0.8706,0.12939999999999996,6.973400431344387
60,0.8733,0.12670000000000003,8.914450035945338
80,0.8752,0.12480000000000002,10.280373831775686
