fraction_%,accuracy,error_rate,rel_err_reduction
20,0.7837,0.21630000000000005,0.0
40,0.7931,0.20689999999999997,4.345815996301467
60,0.8025,0.1975,8.691631992602883
80,0.8032,0.19679999999999997,9.015256588072154
